seller;data;tipo;sku;quantity;nf;observ
PURPOSE;10/11/2023;Entrada;BBJ-MO;72;244271192;
PURPOSE;10/11/2023;Entrada;BBJ-RS;72;244271192;
PURPOSE;10/11/2023;Entrada;BBJ-VD;72;244271192;
PURPOSE;10/11/2023;Entrada;LVR-GL;150;244271192;
PURPOSE;10/11/2023;Entrada;JB-UVV;150;244271192;
PURPOSE;10/11/2023;Entrada;MIO-BBJ;80;244271192;
PURPOSE;10/11/2023;Entrada;JB-RST;34;244271192;Recebemos 34 unidades e não 48 como consta em NF
PURPOSE;10/11/2023;Entrada;6328;900;244271366;
PURPOSE;10/11/2023;Entrada;Kit-MM-II;340;244271366;Recevemos 340 unidades e não 430 conforme consta em NF
PURPOSE;10/11/2023;Entrada;6335;650;244271366;
PURPOSE;10/11/2023;Entrada;St-not;30;244271366;
PURPOSE;10/11/2023;Entrada;MRC-TXT-JOC;60;244271366;
PURPOSE;13/11/2023;Entrada;PL-2024-JN;450;244271620;
PURPOSE;13/11/2023;Entrada;PL-2024-JN;350;244271622;
PURPOSE;13/11/2023;Entrada;PL-2024-RN;450;244271620;
PURPOSE;13/11/2023;Entrada;PL-2024-RN;550;244271622;Recebemos 550 unidades e não 350
PURPOSE;13/11/2023;Entrada;PL-2024-JD;450;244271620;
PURPOSE;13/11/2023;Entrada;PL-2024-JD;150;244271622;Recebemos 150 e não 350 como consta em NF
PURPOSE;13/11/2023;Entrada;JB-1;30;244271192;Carta de correção 
PURPOSE;13/11/2023;Entrada;JB-2;60;244271192;Carta de correção 
PURPOSE;13/11/2023;Entrada;JB-3;60;244271192;Carta de correção
PURPOSE;20/11/2023;Entrada;CART-PR;744;244271624;SKU divergente da NF - NF consta 726
PURPOSE;20/11/2023;Entrada;LVR-GL;2320;244271624;SKU divergente da NF - NF consta 2317
PURPOSE;20/11/2023;Entrada;KIT-AD-EST;2300;244271624;SKU divergente da NF - NF consta - 2299
PURPOSE;20/11/2023;Entrada;OVERB-EVG;1304;244271624;SKU divergente da NF - NF consta - 1754
PURPOSE;20/11/2023;Entrada;BBL-JOU-VD;1864;244271624;SKU divergente da NF - NF consta - 1339
PURPOSE;20/11/2023;Entrada;PL-EST-RFLO;1015;244271624;SKU divergente da NF - NF consta - 1014
PURPOSE;20/11/2023;Entrada;PL-EST-MT;876;244271624; SKU divergente da NF - NF consta - 875
PURPOSE;20/11/2023;Entrada;JB-POC-AS;709;244271624;SKU divergente da NF - NF consta - 689
PURPOSE;20/11/2023;Entrada;JB-UVV;764;244271624;SKU divergente da NF - NF consta - 683
PURPOSE;20/11/2023;Entrada;PL-BK-VD;557;244271624;
PURPOSE;20/11/2023;Entrada;BBL-ANT-MR;586;244271624;SKU divergente da NF - NF consta 556
PURPOSE;20/11/2023;Entrada;PL-BK-BG;471;244271624;SKU divergente da NF - NF consta 470
PURPOSE;20/11/2023;Entrada;PL-BK-MR;450;244271624;SKU divergente da NF - NF consta 447
PURPOSE;20/11/2023;Entrada;PL-EST-VGR;387;244271624;
PURPOSE;20/11/2023;Entrada;CTL-AD-BBJ;375;244271624;SKU divergente da NF - NF consta 318
PURPOSE;20/11/2023;Entrada;BBL-ANT-BG;310;244271624;SKU divergente da NF - NF consta 304
PURPOSE;20/11/2023;Entrada;BBL-ANT-AZ;271;244271624;SKU divergente da NF - NF consta 253
PURPOSE;20/11/2023;Entrada;JB-3;250;244271624;SKU divergente da NF - NF consta 249
PURPOSE;20/11/2023;Entrada;JB-2;270;244271624;SKU divergente da NF - NF consta 243
PURPOSE;20/11/2023;Entrada;JB-POC-FR;183;244271624;SKU divergente da NF - NF consta 179
PURPOSE;20/11/2023;Entrada;JOURCAN-FL;81;244271624;SKU divergente da NF - NF consta 176
PURPOSE;20/11/2023;Entrada;JOUR-BET-MR;139;244271624;SKU divergente da NF - NF consta 129
PURPOSE;20/11/2023;Entrada;CTL-ADD-BBJ;205;244271624;SKU divergente da NF - NF consta 129
PURPOSE;20/11/2023;Entrada;JB-POC-IT;104;244271624;SKU divergente da NF - NF consta 97
PURPOSE;20/11/2023;Entrada;BBJ-MO;111;244271624;SKU divergente da NF - NF consta 81
PURPOSE;20/11/2023;Entrada;JB-1;82;244271624;SKU divergente da NF - NF consta 81
PURPOSE;20/11/2023;Entrada;JOURCAN-CF;68;244271624;
PURPOSE;20/11/2023;Entrada;NJ-BG;68;244271624;SKU divergente da NF - NF consta 67
PURPOSE;20/11/2023;Entrada;BAGP;73;244271624;SKU divergente da NF - NF consta 62
PURPOSE;20/11/2023;Entrada;BBJ-RS;97;244271624;SKU divergente da NF - NF consta 60
PURPOSE;20/11/2023;Entrada;CALD-PAR;59;244271624;SKU divergente da NF - NF consta 49
PURPOSE;20/11/2023;Entrada;MRC-TXT-JOC;49;244271624;
PURPOSE;20/11/2023;Entrada;ECOI;43;244271624;SKU divergente da NF - NF consta 41
PURPOSE;20/11/2023;Entrada;St-not;53;244271624;SKU divergente da NF - NF consta 40
PURPOSE;20/11/2023;Entrada;CTPB-RP;29;244271624;
PURPOSE;20/11/2023;Entrada;JOURBER-TZ;22;244271624;SKU divergente da NF - NF consta 20
PURPOSE;20/11/2023;Entrada;JOURBER-FL;20;244271624;SKU divergente da NF - NF consta 19
PURPOSE;20/11/2023;Entrada;JOURCAN-TZ;13;244271624;
PURPOSE;20/11/2023;Entrada;CTPB-BP;12;244271624;
PURPOSE;20/11/2023;Entrada;JB-POC-IN;16;244271624;SKU divergente da NF - NF consta 8
PURPOSE;20/11/2023;Entrada;JOURBER-CF;6;244271624;
PURPOSE;20/11/2023;Entrada;JOUR-BET-BG;13;244271624;SKU divergente da NF - NF consta 3
PURPOSE;20/11/2023;Entrada;Kit-MM-Ec;8;244271624;SKU divergente da NF - NF consta 2
PURPOSE;20/11/2023;Entrada;CDRN;2;244271624;
PURPOSE;20/11/2023;Entrada;NJ-VD;3;244271624;SKU divergente da NF - NF consta 1
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271664;
PURPOSE;22/11/2023;Saída;PL-2024-RN;1;244271664;
PURPOSE;22/11/2023;Saída;7060;2;244271664;
PURPOSE;22/11/2023;Saída;JOUR-BET-BG;3;244271664;
PURPOSE;22/11/2023;Saída;JOUR-BET-MR;1;244271664;
PURPOSE;22/11/2023;Saída;BBL-JOU-VD;1;244271897;
PURPOSE;22/11/2023;Saída;BBL-JOU-VD;1;244271895;
PURPOSE;22/11/2023;Saída;BBL-JOU-VD;1;244271894;
PURPOSE;22/11/2023;Saída;BBL-JOU-VD;1;244271902;
PURPOSE;22/11/2023;Saída;6157;1;244271934;
PURPOSE;22/11/2023;Saída;6157;1;244271910;
PURPOSE;22/11/2023;Saída;6157;1;244271895;
PURPOSE;22/11/2023;Saída;6157;1;244271877;
PURPOSE;22/11/2023;Saída;6157;1;244271791;
PURPOSE;22/11/2023;Saída;6157;1;244271748;
PURPOSE;22/11/2023;Saída;6157;1;244271738;
PURPOSE;22/11/2023;Saída;6157;1;244271736;
PURPOSE;22/11/2023;Saída;6157;1;244271735;
PURPOSE;22/11/2023;Saída;6157;1;244271733;
PURPOSE;22/11/2023;Saída;6157;1;244271732;
PURPOSE;22/11/2023;Saída;6157;1;244271730;
PURPOSE;22/11/2023;Saída;6157;1;244271737;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271940;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;2;244271934;
